stra,perc,circ,samp,stra2,perc2,circ2,samp2,cros1,cros2
Mirroring,0.000,0.425,35,Mirroring,0.000,0.400,25,149,135
Mirroring,0.000,0.425,35,Mirroring,0.000,0.400,35,119136,118739
Mirroring,0.000,0.425,35,Mirroring,0.000,0.400,40,58936,57054
Mirroring,0.000,0.425,35,Mirroring,0.000,0.425,25,16137,14553
Mirroring,0.000,0.425,35,Mirroring,0.000,0.425,30,53975,52399
Mirroring,0.000,0.425,40,Annealing,0.950,0.400,20,4616,4029
Mirroring,0.000,0.425,40,Mirroring,0.000,0.400,20,152,126
Annealing,0.900,0.400,30,Annealing,0.950,0.400,35,18,18
Annealing,0.900,0.400,40,Mirroring,0.000,0.400,20,22,22
Annealing,0.950,0.425,35,Mirroring,0.000,0.400,20,39,39
Mirroring,0.000,0.400,40,Annealing,0.900,0.400,40,11,11
